IDF,CVL,BOU,FCO,BN,HN,NPC,PIC,ALS,CHA,LOR,PDL,BRE,AQU,LIM,POI,LR,MPY,AUV,RA,PACA,COR
85.29739350004053,83.13386225456149,82.79431524198681,83.40352052301209,82.73709527487932,82.18384155549941,81.24165455436733,81.46509688950493,83.1672614034682,82.01509305214282,82.41757951358697,83.96485653265441,83.05983139466713,83.82070379638671,83.1619302294584,83.60542259646735,83.53061611513833,84.07165931091575,82.95503115324718,84.51898102467696,83.8074373807793,83.87924840180845
85.53781431825807,83.30048552817634,82.97847629378049,83.60011645419509,82.91560803060867,82.36741381520427,81.4476369685501,81.64469008118917,83.37075311413409,82.191715052765,82.6133551262181,84.16077915635874,83.27161188314913,84.01183959975279,83.34256352121511,83.79075194069692,83.72331379660109,84.25239768484245,83.15106105871236,84.71998613354357,83.99936022413031,84.07870439185263
85.7784530520701,83.46694191633686,83.16276917192233,83.79663352319066,83.09424955460699,82.55116395270545,81.65364617381255,81.82422698084952,83.57463473167023,82.36849130123328,82.80910802974464,84.35663129370172,83.48331603716221,84.20294385131454,83.52311093846518,83.9761097153076,83.91613248515579,84.43325263575463,83.34701270529415,84.9206127493242,84.19117682523854,84.27801587414147
86.01931436844917,83.63324708053963,83.34720373134535,83.9930843659191,83.27303002019977,82.7351054080294,81.85969466393226,82.0037224790871,83.77891849349771,82.5454346606176,83.00485234316739,84.55242513900413,83.6949606323468,84.39403083860438,83.7035849942269,84.1615173336472,84.10910030369462,84.61424007395674,83.54290036134577,85.12087512315765,84.38290408095153,84.47719668875965
86.26040043802203,83.79941611570096,83.5317892529241,84.18948093728608,83.45195903370367,82.91925087320843,82.06579423201295,82.18319101447808,83.98361586086267,82.72255740406204,83.20060160460683,84.74817212072524,83.90656158524347,84.58511409849811,83.88399761255533,84.34699520606331,84.30224397389387,84.79537515990958,83.73873766533728,85.32078685991709,84.57455805580281,84.67625990231853
86.50171087773678,83.96546354217915,83.7165344163225,84.38583448553396,83.63104561140248,83.10361226108643,82.27195594125976,82.36264655753097,84.1887374594826,82.89987118800816,83.39636874660039,84.9438828752498,84.11813391384088,84.77620638954521,84.06436011570655,84.53256270530159,84.495588758609,84.97667227064784,83.93453760099352,85.5203609028312,84.7661539567622,84.87521778184804
86.74324270114113,84.13140329734838,83.9014472724863,84.58215552624901,83.81029815607874,83.28820067390102,82.4781900953522,82.54210259382363,84.39429301799933,83.07738702496603,83.59216607035998,85.13956722062437,84.3296916972208,84.96731966386768,84.24468321080046,84.71823813118715,84.68915840316984,85.15814496525142,84.13031247163516,85.7196095176345,84.95770610756949,85.07408176849457
86.98499027700858,84.2972487267901,84.08653521593095,84.77845381618275,83.98972443323815,83.4730263718439,82.68450620859068,82.72157210638345,84.60029130461602,83.25511525597916,83.78800521911309,85.33523413042592,84.541248034558,85.15846503881006,84.42497697607942,84.90403867486337,84.88297507611932,85.33980594958874,84.326073873858,85.91854427634797,85.14922792282984,85.2728624512045
87.22694529697576,84.46301257516852,84.27180495698882,84.97473832705245,84.16933154717044,83.65809874180607,82.89091297599916,82.90106755738073,84.80674006233949,83.43306552294165,83.98389715066476,85.53089170794483,84.75281500375684,85.34965276853497,84.60525084685854,85.08998038287862,85.0770593099654,85.52166704056701,84.5218326707041,86.11717604079729,85.34073188206499,85.47156954057498
87.46909675276775,84.62870697686199,84.45726249418169,85.17101721949474,84.34912591699701,83.84342626652322,83.09741824357529,83.08060086921715,85.01364594328564,83.61124674092925,84.17985210933092,85.72654716087588,84.96440362001958,85.54089221576386,84.78551360127494,85.2760781214213,85.2714299425389,85.70373913013916,84.71759896448485,86.31551494598455,85.53222950391665,85.6702118430642
87.71143092349834,84.79434344642434,84.64291308689216,85.3672978173493,84.52911325286036,84.02901649433718,83.3040289788846,83.26018340509476,85.22101444254254,83.7896670707138,84.37587959740739,85.92220677670505,85.17602379465777,85.73219182387126,84.96577334594166,85.4623455410117,85.4661040595569,85.88603214932964,84.91338206942775,86.51357038343387,85.72373132070642,85.8687972357551
87.95393137343689,84.9599328689518,84.82876122850973,85.56358658245536,84.70929853241361,84.21487600979277,83.51075124220274,83.43982594916359,85.42884983211557,83.96833389163368,84.5719883463482,86.11787589898898,85.3876842944682,85.9235590895436,85.14603750161817,85.64879504196513,85.66109693900003,86.0685550325484,85.10919048432831,86.71135098463793,85.91524685355965,86.06733264186803
88.19657896053164,85.12548549043461,85.01481062023001,85.7598890901456,84.88968597777158,84.40101040528728,83.7175901584066,83.61953868634933,85.63715509549986,84.14725377499569,84.76818628783874,86.31355890471552,85.59939270200307,86.11500053621577,85.3263127890102,85.83543774094127,85.85642199790601,86.25131568247303,85.3050318653931,86.90886460473385,86.10678458830242,86.26582400722069
88.43935185587729,85.29101090817274,85.2010641456862,85.95621000562109,85.07027903308543,84.58742425398977,83.92454988982206,83.79933118197008,85.84593186344367,84.3264324581856,84.96448052495587,86.50925918293588,85.81115537706712,86.30652168850028,85.50660521481304,86.02228343889298,86.05209074217338,86.43432093577917,85.50091299946813,87.1061183065427,86.2983519523405,86.46427627783046
88.68222557421117,85.45651806133543,85.38752384658979,86.15255306139369,85.2510803429024,84.77412108423822,84.13163361023042,83.9792123612572,86.05518035147738,84.50587481966262,85.16087730361447,86.7049791148517,86.02297741977783,86.4981270478196,85.68692005811425,86.20934059072566,86.24811271995023,86.61757653000276,85.69683977784794,87.30311834510705,86.48995529272824,86.66269337885073
88.92517301541899,85.62201522174635,85.57419089955594,86.34892103597363,85.4320917314709,84.96110335562302,84.33884348023521,84.15919048889958,86.26489929978214,84.68558485501333,85.35738198450554,86.90072005553482,86.23486263551771,86.68982006945299,85.8672618572701,86.39661627696537,86.44449547915755,86.80108707181635,85.89281717086499,87.4998701528613,86.68159985562829,86.86107819502948
89.1681645169318,85.78750998497465,85.76106559428472,86.54531573398214,85.61331418314795,85.14837243694899,84.54618062418477,84.33927314873509,86.47508591597338,84.8655656542352,85.55399901573284,87.09648231745055,86.4468135021056,86.8816031411965,86.04763439736963,86.58411617772843,86.64124452966672,86.98485600699485,86.08884920345642,87.69637832556995,86.87328976736143,87.0594325528706
89.41116791679667,85.9530092618111,85.94814731326242,86.74173796785863,85.79474782406088,85.33592858626537,84.75364510884073,84.51946722371372,86.68573582135721,85.04581938041545,85.75073190635655,87.29226515594303,86.65883113950048,87.07347756383534,86.22804069839873,86.77184454926625,86.83836331061096,87.16888559234181,86.28493893190709,87.89264660916797,87.06502801723363,87.25775720466972
89.65414862711218,86.11851927020908,86.13543451314146,86.9381875413252,85.97639190517155,85.52377093313588,84.96123592397294,84.69977887626287,86.89684300120466,85.22634724996644,85.94758320105201,87.48806675683493,86.87091528234073,87.26544353361075,86.40848300421278,86.95980420334604,87.03585316326914,87.35317686983396,86.48108842195974,88.08867788763087,87.25681644232111,87.45605181458704
89.89706971743242,86.28404552776593,86.32292470794862,87.13466323476366,86.15824478688148,85.71189746331201,85.16895096505235,84.88021352918176,87.10839975956033,85.40714951456714,86.14455445608904,87.68388422627574,87.0830642556021,87.45750012685933,86.58896277242398,87.14799648970734,87.23371330991097,87.53772964323264,86.67729872848246,88.28447417200516,87.44865571438145,87.65431494690786
90.13989200766359,86.44959284481988,86.51061445426086,87.3311627926492,86.3403039253108,85.90030500595518,85.37678701820236,85.0607758471953,87.32039667907247,85.58822544495604,86.34164621683114,87.87971358296595,87.29527495364184,87.6496452869837,86.76948066530427,87.33642128181155,87.43194083894265,87.72254245739236,86.87356987687316,88.4800365907157,87.64054532904584,87.85254405662941
90.38257416990324,86.61516531823413,86.698499338478,87.52768291317216,86.52256586037447,86.08898922353855,85.58473974755532,85.24146971929419,87.53282258629339,85.76957331670691,86.53885799695045,88.07554975286446,87.50754282287144,87.84187581390474,86.95003654180023,87.52507696608116,87.63053069663347,87.90761258048201,87.06990084637339,88.67536538126886,87.8324835974365,88.05073548249769
90.62507283860863,86.78076632593557,86.886573966309,87.72421924016876,86.70502620576634,86.27794460454471,85.79280368514769,85.42229824198742,87.74566452285907,85.95119039810959,86.7361882595428,88.27138656647594,87.71986184827685,88.0341873561264,87.13062945075046,87.7139604347977,87.82947568565119,88.09293598931305,87.26628955545401,88.87045988345774,88.02446764033306,88.24888444260337
90.86734272842276,86.94639852227412,87.07483195457613,87.92076635746679,86.88767964095608,86.46716445905399,86.00097222347286,85.6032637035897,87.95890772290579,86.13307294026579,86.93363440031925,88.46721675879526,87.93222454397926,88.22657440553034,87.31125762538935,87.90306708280234,88.02876647056874,88.27850735794954,87.46273284942247,89.06531853417077,88.21649338500072,88.4469850326317
91.10933675894145,87.1120638342623,87.26326592542806,88.11731778573771,87.07051990528663,86.6566409173036,86.20923761079368,85.78436756966113,88.17253559703624,86.31521616949598,87.1311927330388,88.66303197197232,88.14462194799837,88.41903029499838,87.49191847921415,88.09239080811415,88.2283915904506,88.46432004975118,87.65922649038984,89.25993886389406,88.40855556477281,88.64503022684114
91.35100618566284,87.27776345875112,87.45186750303694,88.31386598193232,87.25353979425137,86.84636493127714,86.41759094930006,85.9656104697138,88.38652972308857,86.49761428214106,87.32885847733321,88.8588227607439,88.3570436213546,88.61154719894469,87.67260860328534,88.28192401655505,88.42833747856375,88.65036611297784,87.8557651497197,89.45431749499076,88.6006477214635,88.84301188183397
91.59230073633384,87.44349786059416,87.6406273128428,88.51040234136107,87.43673115801614,87.03632627936655,86.62602219618154,86.14699218529219,88.60086984390962,86.68026044182862,87.52662574906164,89.05457860065935,88.56947765161115,88.80411613681868,87.85332376502187,88.47165763043976,88.6285884891991,88.83663628005806,88.05234240306928,89.64845014182785,88.79276221066915,89.0409207431586
